episode,timestep,episode_reward,episode_steps,avg_reward_100,alpha,q1_loss,q2_loss,actor_loss,alpha_loss,log_probs_mean,log_probs_min,log_probs_max,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
44,44000,10.19137273838311,1000,6.118360982620801,0.26263126730918884,2.4291760552099593,6.100561444907906,-91.95138665955008,-0.026322780157668063,-10.526098526092273,-22.979058403126622,-1.3040467960326114,0.07965450199352818,-12.054960833056983,12.114364322867933,0.2849642185756124,-0.5200075279391213,1.5967227928519947
45,45000,13.48156457249277,1000,6.2819877290624,0.26135361194610596,6.265692170116623,2.649559445946657,-94.24702255640628,0.008881298222778146,-10.497508034001623,-22.23851830855519,-1.6441074450278497,0.07439001057980373,-11.89481760387837,12.06014259600551,0.28908751566043145,-0.5111288153035045,1.6686614366303005
46,46000,1.366978496417883,1000,6.1751397022657795,0.2706470787525177,3.429538474281402,4.292777570920488,-96.92332682102409,-0.0008003438300220895,-10.506689409817964,-22.395340636048545,-1.3498123974273946,0.08689061597032335,-11.7399679606771,11.755234006223729,0.27821487076206824,-0.5485876212743065,1.7224689504604584
47,47000,8.549446983936386,1000,6.225656878471537,0.27250486612319946,3.721712161955882,3.002767519510695,-99.50449408891814,-0.025203790877537692,-10.525934763603347,-21.804895758114036,-1.5892206892075114,0.07130026426224248,-11.427886425055917,11.78472966490464,0.2726693087802748,-0.5446305310899149,1.643122611855578
48,48000,16.600069488868822,1000,6.441790474521482,0.28314560651779175,3.1630142818909706,4.710878816660781,-102.02175388497625,-0.019539504952779545,-10.536908484425258,-22.02542942157259,-1.5702833272098016,0.06467464968122294,-12.810474296479452,11.946140005631182,0.26299013347191363,-0.5949946040498976,1.701750588798296
49,49000,8.118093992461807,1000,6.476000750397815,0.28720012307167053,3.3843316406581376,4.281571246737526,-104.55090611564019,0.05814619158249936,-10.408961487025131,-22.939568326639343,-1.3084287259309229,0.13613455680901296,-12.51881551946649,12.817736388026336,0.2502885943663798,-0.6405048889376961,1.7282826165137115
50,50000,1.022403156020349,1000,6.366928798510266,0.29119130969047546,3.6345625209808166,5.948435014853757,-107.00971089176592,-0.006272621284944562,-10.510682526415028,-22.020134927220383,-1.415005066068734,0.022338138596014544,-12.01120225323443,12.414932087706461,0.2606323283921188,-0.6522527593622391,1.6953358669909333
51,51000,7.492853353026365,1000,6.3890057505596,0.29460299015045166,4.722050268426136,5.09079113237593,-109.45788586971464,-0.008568517990133289,-10.51492543558771,-22.15946340237452,-1.5728287915557748,0.04162712510535459,-12.172035492184706,12.869431065268934,0.22788232877922987,-0.6980307676789842,1.704990566628377
52,52000,8.390102804240419,1000,6.427488386207309,0.2980993688106537,4.508404564476545,4.404599425801762,-111.9836518832912,-0.01602850783131916,-10.523595417942163,-22.582509544610858,-1.5878986529783223,0.040316323967712224,-11.805771595963208,12.304085581002692,0.22977064746233447,-0.7171578638641933,1.6938573415282547
53,53000,8.915867902834174,1000,6.474438943124797,0.3013205826282501,4.194459773887327,3.3065980084923603,-114.52433743249335,0.054167938191994336,-10.41404138996254,-22.67192011962763,-1.2740858103362787,0.030803387738775716,-10.75941077522186,11.464251381128573,0.20445365216187664,-0.7453928276336074,1.6261344585101807
