timestep,log_probs_mean,log_probs_min,log_probs_max,target_entropy,log_alpha,alpha,entropy_diff,alpha_loss,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
20000,-3.849984645843506,-14.173510551452637,0.0,-10.5,-0.6928471922874451,0.5001500248908997,6.650015354156494,4.609439373016357,0.001822805032134056,-0.02337438240647316,0.02714080549776554,-1.5007039308547974,-1.517601728439331,-1.4848557710647583
20100,-13.810094833374023,-17.819164276123047,-7.621474266052246,-10.5,-0.6954714059829712,0.49883925914764404,-3.3100948333740234,-2.301196575164795,0.050336096435785294,-0.4201924502849579,0.5952813625335693,-0.016880951821804047,-0.5950930118560791,1.2729718685150146
20200,-14.138559341430664,-17.687747955322266,-7.832370758056641,-10.5,-0.7102417349815369,0.4915253520011902,-3.638559341430664,-2.583141565322876,-0.0046072970144450665,-0.1802641749382019,0.1378595381975174,-0.11867572367191315,-0.46292901039123535,0.8159580230712891
20300,-14.16868782043457,-17.78353500366211,-9.475468635559082,-10.5,-0.7256029844284058,0.48403263092041016,-3.6686878204345703,-2.6608822345733643,0.004015786573290825,-0.14218199253082275,0.16262556612491608,-0.09233242273330688,-0.42341482639312744,0.6918387413024902
20400,-14.26507568359375,-17.36050796508789,-10.350016593933105,-10.5,-0.7410189509391785,0.47662800550460815,-3.76507568359375,-2.7888309955596924,0.0043906294740736485,-0.19136084616184235,0.19094012677669525,-0.11876612901687622,-0.35210931301116943,0.376420259475708
20500,-14.223455429077148,-17.69689178466797,-10.416717529296875,-10.5,-0.7563984394073486,0.4693537950515747,-3.7234554290771484,-2.815272092819214,-0.001414574682712555,-0.17177461087703705,0.14874014258384705,-0.09488111734390259,-0.39121174812316895,0.9007371664047241
20600,-14.210807800292969,-17.516197204589844,-10.618752479553223,-10.5,-0.7717246413230896,0.46221521496772766,-3.7108078002929688,-2.86258602142334,-0.016325192525982857,-0.18999265134334564,0.1681826263666153,-0.09274666011333466,-0.3272428512573242,0.6464779376983643
20700,-14.221915245056152,-17.237470626831055,-7.680853366851807,-10.5,-0.7870027422904968,0.45520713925361633,-3.7219152450561523,-2.9280240535736084,-0.007315173279494047,-0.21799065172672272,0.14602811634540558,-0.09828110039234161,-0.30240917205810547,0.7685067653656006
20800,-14.24856185913086,-17.889280319213867,-9.177559852600098,-10.5,-0.8022502660751343,0.4483189880847931,-3.7485618591308594,-3.0061426162719727,0.0069086793810129166,-0.15377914905548096,0.17943264544010162,-0.07476336508989334,-0.27891063690185547,0.9227540493011475
20900,-14.260372161865234,-17.227500915527344,-11.290533065795898,-10.5,-0.8174208402633667,0.441569060087204,-3.7603721618652344,-3.0726702213287354,-0.00950521882623434,-0.21483592689037323,0.18115146458148956,-0.09940551966428757,-0.3631833791732788,0.5162795782089233
21000,-14.188043594360352,-18.155323028564453,-10.172462463378906,-10.5,-0.8325512409210205,0.4349382519721985,-3.6880435943603516,-3.0693700313568115,-0.006252598483115435,-0.19952790439128876,0.16479508578777313,-0.06706629693508148,-0.30617189407348633,0.678276777267456
21100,-14.243694305419922,-17.600954055786133,-11.242971420288086,-10.5,-0.8476191163063049,0.42843377590179443,-3.743694305419922,-3.1721031665802,0.01093556173145771,-0.19100293517112732,0.23689258098602295,-0.0893416702747345,-0.3464571237564087,0.6985259056091309
21200,-14.314538955688477,-17.54189682006836,-9.005704879760742,-10.5,-0.8626754283905029,0.4220314621925354,-3.8145389556884766,-3.2895565032958984,0.006737343035638332,-0.19683340191841125,0.22055000066757202,-0.10413560271263123,-0.27478861808776855,0.4423952102661133
